"BUSINESS_NAME","CASE_NUMBER","DBA","LOCATION","NEIGHBORHOOD_NAME","POLICE_DISTRICT_WHEN_LAST_UPDATED","STATUS_CODE","WARD"
"ALS RESTAURANT INC","17-0244","ALS RESTAURANT","1200 N 1ST ST","Near North Riverfront","4","ACTIVE","7"
"AMERICAN CZECH EDUCATIONAL CENTER       ","17-0245","","4690  LANSDOWNE AV","Bevo Mill","1","ACTIVE","14"
"GLORIA S THOMAS                         ","17-0246","","2931 N NEWSTEAD AV","The Greater Ville","6","ACTIVE","4"
"ST LOUIS POLICE OFFICERS ASSOC","17-0247","","3710  HAMPTON AV","North Hampton","2","ACTIVE","23"
"DOMINICS RESTAURANT INC","17-0248","DOMINICS","5101  WILSON AV","The Hill","2","ACTIVE","10"
"CARR SQUARE TENANT CORPORATION          ","17-0249","","1629  BIDDLE ST","Carr Square","4","ACTIVE","5"
"GIOVANNI'S RESTAURANT INC","17-0250","","5201  SHAW AV","The Hill","2","CLOSED","10"
"MCNEALS SUPERETTE PACKAGE LIQUORS INC","17-0251","","5900  LILLIAN AV","Walnut Park West","6","ACTIVE","27"
"FIFTH HOUSE INC (THE)","17-0252","","3802  LACLEDE AV","Midtown","4","CLOSED","17"
"P & S FOODS INC                         ","17-0253","","1301  UNION BLVD","Hamilton Heights","5","ACTIVE","26"
"ST LOUIS ZOOLOGICAL PARK","17-0254","","6420  GOVERNMENT DR","Forest Park","2","ACTIVE","28"
"RIGAZZIS INC","17-0255","","4945  DAGGETT AV","The Hill","2","ACTIVE","10"
"PASTA HOUSE CO                          ","17-0256","","2200  59TH ST","The Hill","2","ACTIVE","10"
"HILLTOP INN LLC","17-0257","","6902  MORGAN FORD RD","Boulevard Heights","1","CLOSED","12"
"PIETROS RESTAURANT INC","17-0258","","3801  WATSON RD","Lindenwood Park","2","ACTIVE","23"
"ST LOUIS BOCCE CLUB INC                 ","17-0259","","2200  MARCONI AV","The Hill","2","ACTIVE","10"
"HUMPHREYS RESTAURANT & TAVERN INC","17-0260","","3700  LACLEDE AV","Midtown","4","CLOSED","17"
"TIM PAPPAS","17-0261","","4736  GRAVOIS AV","Bevo Mill","1","CLOSED","14"
"ST STANISLAUS CORPORATION               ","17-0262","","1413 N 20TH ST","Carr Square","4","ACTIVE","5"
"DIGREGORIO FOOD PRODUCTS INC","17-0263","DIGREGORIOS MARKET","5200  DAGGETT AV","The Hill","2","ACTIVE","10"
"REINBERG INC","17-0264","","4400 N BROADWAY","Near North Riverfront","4","ACTIVE","2"
"FAVAZZAS INC","17-0265","","2300  EDWARDS ST","The Hill","2","ACTIVE","10"
"FAVAZZAS INC","17-0266","","5201  SOUTHWEST AV","The Hill","2","ACTIVE","10"
"MOMS DELI INC","17-0267","","4412  JAMIESON AV","Lindenwood Park","2","ACTIVE","23"
"C & A GITTO INC","17-0268","CHARLIE GITTOS PASTA HOUSE","207 N 6TH ST","Downtown","4","ACTIVE","7"
"JOHN D MCGURK INC                       ","17-0269","","1200  RUSSELL BLVD","Soulard","3","ACTIVE","7"
"F & E PACKAGE LIQUORS INC               ","17-0270","","1305 N SARAH ST","Vandeventer","5","ACTIVE","19"
"F & E PACKAGE LIQUORS INC               ","17-0271","","4332  NATURAL BRIDGE AV","The Greater Ville","6","ACTIVE","21"
"CONTEMPORARY ART MUSEUM OF ST LOUIS","17-0272","","3750  WASHINGTON AV","Covenant Blu / Grand Center","4","OPEN","19"
"NEWCOMB JANIS","17-0273","","4532  VIRGINIA AV","Dutchtown","1","CLOSED","25"
"F R HAEFNER INC","17-0274","","4401  WEST PINE BLVD","Central West End","5","CLOSED","17"
"SPENO & COCO'S, INC.","17-0275","","5900  ARSENAL ST","Southwest Garden","2","CLOSED","24"
"DIVISION 788 REDEVELOPMENT CORP.","17-0276","","1611 S BROADWAY","Kosciusko","3","CLOSED","7"
"CHAS & P INC","17-0277","CHARLIE GITTOS","5226  SHAW AV","The Hill","2","ACTIVE","10"
"FOX ASSOCIATES LLC","17-0278","","527 N GRAND BLVD","Covenant Blu / Grand Center","4","ACTIVE","19"
"KAISER GRAND MART INC","17-0279","","5008 S GRAND BLVD","Dutchtown","1","ACTIVE","13"
"ALANTOM INCORPORATED                    ","17-0280","","2117 S 12TH ST","Soulard","3","ACTIVE","7"
"VENICE INC.                             ","17-0281","","1903  PESTALOZZI ST","Benton Park","3","ACTIVE","9"
"MANSION PROPERTIES INC                  ","17-0282","","4426  RANDALL PL","College Hill","4","ACTIVE","3"
"BADOCK INC","17-0283","","1729 S 7TH ST","Soulard","3","CLOSED","7"
"C R MACGOUGH INC","17-0284","","1015  RUSSELL BLVD","Soulard","3","CLOSED","7"
"KING & I RESTAURANT INC","17-0285","","3157 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
"KREKELER, RICHARD A","17-0286","","4721  MACKLIND AV","South Hampton","2","CLOSED","16"
"MKW INC","17-0287","","999 N 13TH ST","","4","CLOSED",""
"LISTON ENTERPRISES INC","17-0288","","1208-10 TAMM AVENUE","Clayton / Tamm","2","OPEN","24"
"HENDRIS PARTY HOUSE OF ST LOUIS INC","17-0289","","4501  RIDGEWOOD AV","Bevo Mill","1","ACTIVE","14"
"COTTERS LOUNGE INC","17-0290","COTTERS LOUNGE","4610 S KINGSHIGHWAY BLVD","Bevo Mill","1","ACTIVE","14"
"BAR ITALIA CORPORATION                  ","17-0291","","13  MARYLAND PLAZA ","Central West End","5","ACTIVE","28"
"CHIODINI FAMILY ENTERPRISES INC","17-0292","ZIAS","5256  WILSON AV","The Hill","2","ACTIVE","10"
"WILLIAM D CHRISTMAN                     ","17-0293","","6014  KINGSBURY AV","Skinker / DeBaliviere","5","ACTIVE","28"
"BEULAHS RED VELVET LOUNGE INC","17-0294","BEULAHS RED VELVET LOUNGE","4769  DR MARTIN LUTHER KING DR","Kingsway East","5","ACTIVE","18"
"CATERING ST LOUIS INC                   ","17-0295","","1931 S KINGSHIGHWAY BLVD","The Hill","2","ACTIVE","10"
"CATERING ST LOUIS INC","17-0296","CATERING ST LOUIS INC","2141  59TH ST","The Hill","2","ACTIVE","10"
"CATERING ST LOUIS INC                   ","17-0297","","4344  SHAW AV","","2","ACTIVE","8"
"CATERING ST LOUIS INC                   ","17-0298","","5595  GRAND DR","Forest Park","2","ACTIVE","28"
"CATERING ST LOUIS INC","17-0299","","6101  GOVERNMENT DR","Forest Park","2","CLOSED","28"
"MICHAELS PLACE INC","17-0300","","7101  MANCHESTER AV","Franz Park","2","ACTIVE","24"
"STRAWBRIDGE INC.                        ","17-0301","","725 N TAYLOR AV","Lewis Place","5","ACTIVE","18"
"DRURY DEVELOPMENT CORPORATION           ","17-0302","","14 S 4TH ST","Downtown","4","ACTIVE","7"
"DRURY DEVELOPMENT CORPORATION","17-0303","","201 S 20TH ST","Downtown West","4","ACTIVE","6"
"DRURY DEVELOPMENT CORPORATION           ","17-0304","","2111  SULPHUR AV","Clifton Heights","2","ACTIVE","24"
"DRURY DEVELOPMENT CORPORATION           ","17-0305","","2211  MARKET ST","Downtown West","4","ACTIVE","6"
"MILOS INC","17-0306","","5201  WILSON AV","The Hill","2","ACTIVE","10"
"DR JS MARKET INC","17-0307","DR JS MARKET","3918  PAGE BLVD","Vandeventer","5","ACTIVE","19"
"LORUSSOS INCORPORATED","17-0308","","3119-29  WATSON RD","Lindenwood Park","2","ACTIVE","23"
"FAILONI'S INC.","17-0309","","6715  MANCHESTER AV","Franz Park","2","CLOSED","24"
"PALOMINO LOUNGE INC.","17-0310","","5876  DELMAR BLVD","Skinker / DeBaliviere","5","CLOSED","26"
"DIFANI ENTERPRISES LTD                  ","17-0311","","3735  WYOMING ST","Tower Grove South","2","ACTIVE","15"
"VINCENTS 12TH STREET MARKET INC","17-0312","","2400 S 12TH ST","Soulard","3","ACTIVE","7"
"BI LO MARKET & PACKAGE LIQUOR INC","17-0313","BI LOW CLARA MARKET & PACKAGE LIQUOR","1354  CLARA AV","Hamilton Heights","5","CLOSED","22"
"BI LO MARKET & PACKAGE LIQUOR INC","17-0314","","5440  DR MARTIN LUTHER KING DR","Hamilton Heights","5","CLOSED","26"
"CHRIS PANCAKE INC","17-0315","CHRIS PANCAKE","5980  SOUTHWEST AV","Clifton Heights","2","ACTIVE","24"
"IOWA BUFFET INC","17-0316","","2727  WINNEBAGO ST","Gravois Park","3","ACTIVE","20"
"CBGB INC","17-0317","CBGB","3163 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
"MONDAY CLUB INC","17-0318","","300 N EUCLID AV","Central West End","5","CLOSED","28"
"DESTAS MARKET INC","17-0319","DESTAS MARKET","2503 N TAYLOR AV","The Greater Ville","5","ACTIVE","4"
"AMVETS POST 88                          ","17-0320","","8449 N BROADWAY ","The Greater Ville","5","ACTIVE","4"
"SHELDON ARTS FOUNDATION                 ","17-0321","","3648  WASHINGTON AV","Covenant Blu / Grand Center","4","ACTIVE","19"
"TUCKERS BAR AND GRILL INC","17-0322","","8518 S BROADWAY","Patch","1","ACTIVE","11"
"DUGOM ENTERPRISES INC","17-0323","","2708 N FLORISSANT AV","Old North St. Louis","4","CLOSED","5"
"ALAN BLEST AMVET POST #6                ","17-0324","","2718  CLIFTON AV","Clifton Heights","2","ACTIVE","24"
"BLACK DERBY SALOON INC","17-0325","BLACK DERBY THE","3701 S KINGSHIGHWAY BLVD","North Hampton","2","CLOSED","10"
"DON BLACKWELL & LINDA BLACKWELL","17-0326","REDS 8TH INNING","6412  MICHIGAN AV","Carondelet","1","ACTIVE","11"
"EXCLUSIVE CATERING INC","17-0327","","5856  CHRISTY BLVD","Bevo Mill","1","ACTIVE","13"
"GIAN-TONYS INC","17-0328","","5356  DAGGETT AV","The Hill","2","OPEN","10"
"HEGELS LTD","17-0329","HODAKS RESTAURANT","2100  GRAVOIS AV","Benton Park","3","ACTIVE","7"
"GRANBERRY INC","17-0330","","7907 N BROADWAY","Baden","6","ACTIVE","2"
"E & J PACKAGE LIQUOR INC                ","17-0331","","939 N KINGSHIGHWAY BLVD","Academy","5","ACTIVE","18"
"JAMES HENRY PROVISIONS COMPANY          ","17-0332","","434 N 4TH ST","Downtown","4","ACTIVE","7"
"ZULFIQAR HAIDER                         ","17-0333","","2607  GRAVOIS AV","Fox Park","3","ACTIVE","7"
"ZULIFQAR HAIDER                         ","17-0334","","3160  MORGAN FORD RD","Tower Grove South","2","ACTIVE","10"
"HANNEGAN'S INC","17-0335","","719 N 2ND ST","Downtown","4","CLOSED","7"
"MARKS BROADWAY FOOD SERVICE INC","17-0336","","211 N BROADWAY","Downtown","4","CLOSED","7"
"MEKONG RESTAURANT INC","17-0337","","3131 S GRAND BLVD","Tower Grove South","2","CLOSED","15"
"BRANNON INVESTMENT CO INC","17-0338","ST LOUIS CASA LOMA BALLROOM","3354  IOWA AV","Benton Park West","3","ACTIVE","20"
"ESHEIN INC                              ","17-0339","","201 N 17TH ST","Downtown West","4","ACTIVE","7"
"HAWKINS ROBERT L         ","17-0340","","4700  DR MARTIN LUTHER KING DR","Lewis Place","5","ACTIVE","18"
"J F SANFILIPPO INC","17-0341","","705 N BROADWAY","Downtown","4","CLOSED","7"
"RANDY C MUNTON INC","17-0342","","6909  SOUTHWEST AV","Ellendale","2","ACTIVE","24"
"LOMB INC","17-0343","","20 S 4TH ST","Downtown","4","ACTIVE","7"
"LOMB INC                                ","17-0344","","201 S 20TH ST","Downtown West","4","ACTIVE","6"
"FRANKLIN ROOM INC (THE)","17-0345","","816  ALLEN AV","Soulard","3","CLOSED","7"
"CORDER CONVENIENCE STORE INC","17-0346","","509  BATES ST","Carondelet","1","CLOSED","25"
"WALKER NORMA J","17-0347","","5501  ST LOUIS AV","Wells / Goodfellow","5","OPEN","22"
"CONVENTION CENTER ASSOCIATES","17-0348","DRURY INN ST LOUIS CONVENTION CENTER","711 N BROADWAY","Downtown","4","ACTIVE","7"
"ROGER HUDDLESTON","17-0349","","2800  OHIO AV","Benton Park West","3","ACTIVE","9"
"J & W LIQUORS INC","17-0350","","3001 N FLORISSANT AV","St. Louis Place","4","CLOSED","5"
"DAVECO,INCORPORATED","17-0351","","5956  NATURAL BRIDGE AV","Wells / Goodfellow","5","CLOSED","22"
"GUIDOS PIZZA & DELI INC","17-0352","","5046  SHAW AV","The Hill","2","ACTIVE","10"
"LXS INVESTMENT INC                      ","17-0353","","1  MARYLAND PLAZA ","Central West End","5","ACTIVE","28"
"NEIGHBORHOOD BOWLING CENTER INC         ","17-0354","","6191  DELMAR BLVD","West End","5","ACTIVE","28"
"LEGRANDS INC                            ","17-0355","","4414  DONOVAN AV","St. Louis Hills","2","ACTIVE","16"
"HARRY'S BAR LTD","17-0356","","2144  MARKET ST","Downtown West","4","CLOSED","6"
"DISCOUNT SMOKE SHOP INC","17-0357","DISCOUNT SMOKE SHOP","4340  LOUGHBOROUGH AV","Boulevard Heights","1","ACTIVE","12"
"HINES PATRICIA","17-0358","","4201  PRAIRIE AV","Fairground Neighborhood","6","OPEN","3"
"BIGGIES INC                             ","17-0359","","3332  WATSON RD","Lindenwood Park","2","ACTIVE","23"
"MS MALTESE INC                          ","17-0360","","3515  LINDELL BLVD","Covenant Blu / Grand Center","4","ACTIVE","19"
"BOWOOD FARMS INC","17-0361","CAFE OSAGE","4605  OLIVE ST","Central West End","5","OPEN","18"
"ON BROADWAY INC","17-0362","","5026 N BROADWAY","Near North Riverfront","6","CLOSED","2"
"STRICTLY BUSINESS INCORPORATED","17-0363","","3073  WATSON RD","Clifton Heights","2","CLOSED","24"
"PAMELA A. FEHRENBACH, INC.","17-0364","","5204  HAMPTON AV","South Hampton","2","CLOSED","16"
"FOODWORKS INC","17-0365","","320 S EUCLID AV","Central West End","5","CLOSED","17"
"MAUL SCOTT","17-0366","","3685 S BROADWAY","Marine Villa","3","CLOSED","9"
"PHO GRAND RESTAURANT INC                ","17-0367","","3195 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
"KINGSWAY RESTAURANT COPORATION","17-0368","","813 N KINGSHIGHWAY BLVD","Academy","5","CLOSED","18"
"SLBS MANAGEMENT INC","17-0369","","3201 RIDER TRAIL SOUTH EARTH CITY MO","","","ACTIVE",""
"FLAMENCO HOANG LAM","17-0370","","3737  GRAVOIS AV","Tower Grove South","2","CLOSED","15"
"THOMAS W KLEIN CATERING INC","17-0371","","1601  WASHINGTON AV","Downtown West","4","ACTIVE","6"
"SUPATANA'S CORP","17-0372","","608  EASTGATE AV","West End","5","CLOSED","28"
"SUPATANA'S CORPORATION","17-0373","","6223  DELMAR BLVD","West End","5","CLOSED","28"
"FEASTING FOX INC THE","17-0374","AL SMITHS FEASTING FOX","4200 S GRAND BLVD","Fairground Neighborhood","4","CLOSED","3"
"WAY OUT THERE INC                       ","17-0375","","2523 S JEFFERSON AV","Fox Park","3","ACTIVE","7"
"MITCHELL DARYL E","17-0376","MITCHELLS PACKAGE LIQUOR","4674  DR MARTIN LUTHER KING DR","Lewis Place","5","ACTIVE","4"
"ROBS ROLLER WORLD INC","17-0377","","120 E CATALAN ST","Patch","1","ACTIVE","11"
"ALTAVISTA INC","17-0378","EL MAGUEY MEXICAN RESTAURANT","7014  CHIPPEWA ST","St. Louis Hills","2","ACTIVE","16"
"ST LOUIS GATEWAY CLASSIC SPORTS FOUNDATI","17-0379","","2012  DR MARTIN LUTHER KING DR","Downtown West","4","CLOSED","6"
"ZODIAC LOUNGE & PATIO LLC","17-0380","","3517 N GRAND BLVD","JeffVanderLou","4","CLOSED","3"
"SALIRE CORPORATION","17-0381","","5400  SOUTHWEST AV","Southwest Garden","2","CLOSED","10"
"KOMOREK BROTHERS INC                    ","17-0382","","3600  WATSON RD","Lindenwood Park","2","ACTIVE","23"
"PBS INC","17-0383","","2510 N GRAND BLVD","JeffVanderLou","4","ACTIVE","5"
"BARETTA INC","17-0384","CALECOS BAR & GRILL","101 N BROADWAY","Downtown","4","ACTIVE","7"
"KINGS FOOD MARKET","17-0385","","6116  DR MARTIN LUTHER KING DR","Hamilton Heights","5","CLOSED","22"
"JIMMIE BYINGTON INC","17-0386","","6632  MACKLIND AV","Princeton Heights","1","ACTIVE","12"
"S AND H INC                             ","17-0387","","4760 S SPRING AV","Dutchtown","1","ACTIVE","25"
"WESSEL INVESTMENTS INC","17-0388","","20 S EUCLID AV","Central West End","5","CLOSED","17"
"LEMP MANSION RESTAURANT & INN THE","17-0389","LEMP MANSION RESTAURANT & INN THE","3322  DEMENIL PL","Benton Park","3","ACTIVE","9"
"AMAL INC                                ","17-0390","","4231  NATURAL BRIDGE AV","O'Fallon","6","ACTIVE","21"
"TLC ENTERPRISE INC","17-0391","","4590  LACLEDE AV","Central West End","5","ACTIVE","17"
"SHREENAS INC                            ","17-0392","","4938  NATURAL BRIDGE AV","Kingsway East","6","ACTIVE","1"
"COFFEE CARTEL LTD THE","17-0393","","2  MARYLAND PLAZA","Central West End","5","CLOSED","28"
"MORGAN STREET BREWERY & TAVERN INC      ","17-0394","","721 N 2ND ST","Downtown","4","ACTIVE","7"
"YEMANJA BRAZIL RESTAURANTS CORPORATION  ","17-0395","","2900  MISSOURI AV","Benton Park","3","ACTIVE","9"
"KIMMERON INC","17-0396","","1801 PESTALOZZI ST","Benton Park","3","OPEN","9"
"SMITHS SUPERETTE INC","17-0397","","1912  CARR ST","Carr Square","4","ACTIVE","5"
"SM CORPORATION","17-0398","","620  MARKET ST","Downtown","4","CLOSED","7"
"ANDRES PACKAGE LIQUOR INC","17-0399","ANDRES PACKAGE LIQUOR","4341  WARNE AV","O'Fallon","6","ACTIVE","3"
"BARNETTS MARKET INC","17-0400","BARNETTS MARKET","2600  VIRGINIA AV","Tower Grove East","3","ACTIVE","6"
"NADA INC","17-0401","","4873  ST LOUIS AV","Kingsway East","6","CLOSED","4"
"BBS JAZZ BLUES & SOUPS INC","17-0402","BBS JAZZ BLUES & SOUPS","700 S BROADWAY","Downtown","4","ACTIVE","7"
"NGCM INC                                ","17-0403","","6001  MANCHESTER AV","Cheltenham","2","ACTIVE","24"
"LILLY FRANCESCA BOCCARDI S CORPORATION","17-0404","","5424  MAGNOLIA AV","Southwest Garden","2","OPEN","10"
"M & N INC","17-0405","","6217  MORGANFORD RD","Bevo Mill","1","OPEN","13"
"EIKARCH INC","17-0406","","6016 S GRAND BLVD","Carondelet","1","ACTIVE","11"
"UPSILON OMEGA FOUNDATION INC","17-0407","","3900  GOODFELLOW BLVD","Mark Twain / I-70 Industrial","6","CLOSED","22"
"GUSS MARKET INC","17-0408","","1435  DESTREHAN ST","Hyde Park","4","ACTIVE","3"
"HAMMERSTONES LLC","17-0409","HAMMERSTONES AT 9TH & RUSSELL","2028 S 9TH ST","Soulard","3","ACTIVE","7"
"SWP INC","17-0410","","5915  WILSON AV","Soulard","3","ACTIVE","7"
"FAMILY MINIMART LLC THE","17-0411","FAMILY MINIMART","4561  DR MARTIN LUTHER KING DR","The Greater Ville","5","ACTIVE","4"
"BLUE CRESCENT CORPORATION","17-0412","BROADWAY OYSTER BAR","736 S BROADWAY","Downtown","4","CLOSED","7"
"PENELOPE MANAGEMENT CORPORATION         ","17-0413","","3120  WATSON RD","Lindenwood Park","2","ACTIVE","24"
"TROPHY ROOM INC THE","17-0414","TROPHY ROOM","5099  ARSENAL ST","Southwest Garden","2","ACTIVE","8"
"WAHLIG EVELAND INC","17-0415","","5623  LEONA ST","Bevo Mill","1","CLOSED","13"
"LLYWELYNS PUB LLC","17-0416","","1722-32 S 9TH ST","Soulard","3","ACTIVE","7"
"LLYWELYNS PUB LLC","17-0417","","4747  MCPHERSON AV","Central West End","5","CLOSED","28"
"RAINBOW FOODS INC","17-0418","","4519  MANCHESTER AV","Forest Park Southeast","2","CLOSED","17"
"GRAY BROTHERS LLC","17-0419","","5211  CHIPPEWA ST","North Hampton","2","ACTIVE","23"
"MR. MEANER'S, INC.","17-0420","","1924  PESTALOZZI ST","Benton Park","3","CLOSED","9"
"SOLIS FOODS INC                         ","17-0421","","5125  HAMPTON AV","St. Louis Hills","2","ACTIVE","16"
"BELLYBUSTERS CATERING INC","17-0422","","4067  SHENANDOAH AV","Shaw","2","CLOSED","8"
"COFFEE GARDEN INC","17-0423","SOULARD COFFEE GARDEN CAFE","910  GEYER AV","Soulard","3","ACTIVE","7"
"FAMOUS 5 THEATRES LLC                   ","17-0424","","212 N KINGSHIGHWAY BLVD","Central West End","5","ACTIVE","28"
"KICKERS CORNER OF THE AMERICAS INC","17-0425","","6201 S BROADWAY","Carondelet","1","CLOSED","11"
"ENERGY MARKETING 2001 LLC               ","17-0426","","710  RUSSELL BLVD","Soulard","3","ACTIVE","7"
"PATRICK WRZESINSKI                      ","17-0427","","6400  WEST PARK AV","Clayton / Tamm","2","ACTIVE","24"
"JACK PATRICKS BAR & GRILL INC","17-0428","","1000  OLIVE ST","Downtown","4","OPEN","7"
"CAFE NATASHA INC","17-0429","CAFE NATASHAS","3200 S GRAND BLVD","Tower Grove East","3","ACTIVE","8"
"WRK ENTERPRISES INC","17-0430","","3456  ARSENAL ST","Tower Grove East","3","ACTIVE","6"
"CUSUMANOS RESTAURANTE LLC","17-0431","CUSUMANOS RESTAURANTE AND SPORTS CAFE","7147  MANCHESTER AV","Franz Park","2","ACTIVE","24"
"PLAYBOY CAPPUCINO LOUNGE INC            ","17-0432","","8500 N BROADWAY ","Baden","6","ACTIVE","2"
"LEMON GRASS RESTAURANT INC              ","17-0433","","3159 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
"BHAGAVATI INC","17-0434","JS PACKAGE LIQUOR","8929  RIVERVIEW DR","Baden","6","CLOSED","2"
"RASOI 3 L L C                           ","17-0435","","25 N EUCLID AV","","5","ACTIVE",""
"PINNACLE IMPORTS LLC","17-0436","","1681 WALTON RD  OUTSIDE CITY LIMITS","Ellendale","2","ACTIVE","24"
"POPS BLUE MOON INC","17-0437","","5249  PATTISON AV","The Hill","2","ACTIVE","10"
"BIKERS CORNER RESTAURANT AND LOUNGE  INC","17-0438","BIKERS CORNER RESTAURANT AND LOUNGE","1922-24 N VANDEVENTER AV (OLD)","JeffVanderLou","4","OPEN","5"
"C WS CORPORATION","17-0439","C WS LOUNGE","2600  NATURAL BRIDGE AV","JeffVanderLou","4","ACTIVE","3"
"DITALIA INC","17-0440","DITALIA FOODS","1401 S BOYLE AV","Forest Park Southeast","2","ACTIVE","17"
"DLDS UPPER LEVEL CORPORATION","17-0441","UPPER LEVEL RESTAURANT & LOUNGE","2546 N GRAND BLVD","JeffVanderLou","4","ACTIVE","5"
"JAMES J SINOVIC JR INC","17-0442","BIG DADDYS","1000  SIDNEY ST","Soulard","3","ACTIVE","9"
"FUSCAP INC                              ","17-0443","","1933  EDWARDS ST","The Hill","2","ACTIVE","10"
"TAREK INC                               ","17-0444","","3016  DR MARTIN LUTHER KING DR","JeffVanderLou","4","ACTIVE","19"
"ISHAN CORPORATION                       ","17-0445","","1217  HAMPTON AV","Clayton / Tamm","2","ACTIVE","24"
"SQWIRES, INC.                           ","17-0446","","1415 S 18TH ST","Lafayette Square","3","ACTIVE","6"
"JOHNNIE R WILLIS & DIANA MCLEMORE","17-0447","","5729  DR MARTIN LUTHER KING DR","Wells / Goodfellow","5","ACTIVE","22"
"J J ENTERPRISE INC","17-0448","","3858  MARKET ST","Midtown","4","ACTIVE","17"
"GRBIC MARKET INC","17-0449","","4071  KEOKUK ST","Dutchtown","1","ACTIVE","25"
"DOBA INC.","17-0450","","4962  UNION BLVD","Mark Twain","6","CLOSED","1"
"MARSDEN RESTAURANT GROUP LLC THE","17-0451","MONAS AMERICAN ITALIAN","5257  SHAW AV","The Hill","2","CLOSED","10"
"G-Y RAY'S CORPORATION","17-0452","","2712  DR MARTIN LUTHER KING DR","JeffVanderLou","4","CLOSED","6"
"LITTLE SAIGON INC","17-0453","","10 N EUCLID AV","Central West End","5","ACTIVE","17"
"G B DEVELOPMENT LLC","17-0454","","701 S BROADWAY","Downtown","4","CLOSED","7"
"T J FOOD STORES INC","17-0455","","5604  GRAVOIS AV","Bevo Mill","1","CLOSED","13"
"PAGEANT NIGHTCLUB LLC THE","17-0456","","6161  DELMAR BLVD","West End","5","OPEN","28"
"ESPARZA SALVADOR A","17-0457","","4601 S KINGSHIGHWAY BLVD","South Hampton","1","OPEN","14"
"PETER GUNNS INC","17-0458","","2713  MARCUS AV","Kingsway East","5","CLOSED","4"
"LUCKY DUCK BAR, LLC","17-0459","","5401  GRAVOIS AV","Bevo Mill","1","CLOSED","13"
"CATS MEOW INC","17-0460","CATS MEOW","2600 S 11TH ST","Soulard","3","ACTIVE","9"
"SOULARD BASTILLE LLC","17-0461","","1027  RUSSELL BLVD","Soulard","3","ACTIVE","7"
"SDP CORPORATION","17-0462","","5084  DR MARTIN LUTHER KING DR","Academy","5","CLOSED","18"
"SYBERGS ON MARKET STREET INC            ","17-0463","","2211  MARKET ST","Downtown West","4","ACTIVE","6"
"OHM SHREE INC                           ","17-0464","","200 N BROADWAY ","Downtown","4","ACTIVE","7"
"TIM & JUDYS INC","17-0465","","1923-31 S 12TH ST","Soulard","3","ACTIVE","7"
"TIM & JUDY'S, INC.","17-0466","","1929 S 12TH ST","Soulard","3","CANCELLED","7"
"JOELS SHELL FOOD MART INC","17-0467","","1815  ARSENAL ST","Benton Park","3","OPEN","9"
"Y T S INC","17-0468","","4 N EUCLID AV","Central West End","5","ACTIVE","17"
"EAGLE FOODS LLC","17-0469","NORTHWAY MARKET","5590 W FLORISSANT AV","Walnut Park East","6","ACTIVE","27"
"REGAL FOODS III, INC                    ","17-0470","","4200  SHAW AV","Shaw","2","ACTIVE","8"
"HOLLYWOOD RESTAURANT LLC                ","17-0471","","4640  GRAVOIS AV","Bevo Mill","1","ACTIVE","14"
"CAFFE PALERMO LLC                       ","17-0472","","4401  DELOR ST","Bevo Mill","1","ACTIVE","14"
"MAD ART LLC","17-0473","","2727 S 12TH ST","Soulard","3","ACTIVE","9"
"DAMERY INC","17-0474","SILVER LEAF","3442  HEREFORD ST","North Hampton","2","CLOSED","10"
"TIME OUT SPORTS BAR & GRILL INC","17-0475","","3805  MERAMEC ST","Dutchtown","1","ACTIVE","25"
"TIME OUT SPORTS BAR & GRILL INC","17-0476","","4140  GRAVOIS AV","Dutchtown","1","ACTIVE","25"
"BI STATE DEVELOPMENT AGENCY","17-0477","ST LOUIS CRUISE LINE AND DOCK","50 S LEONOR K SULLIVAN BLVD","Downtown","4","ACTIVE","7"
"GERMAN CULTURAL SOCIETY THE","17-0478","GERMAN CULTURAL SOCIETY","3652 S JEFFERSON AV","Marine Villa","3","ACTIVE","20"
"JAOUNI          ZUHAIR                  ","17-0479","","4257  SHREVE AV","Penrose","6","ACTIVE","1"
"REDBUD VENTURES LLC","17-0480","","34 N EUCLID AV","Central West End","5","CLOSED","17"
"FRITANGA LLC","17-0481","","2208 S JEFFERSON AV","McKinley Heights","3","ACTIVE","7"
"ELZADA HAYNES","17-0482","","1401  ARLINGTON AV","Hamilton Heights","5","CLOSED","26"
"GONZALEZ ROBIN","17-0483","","800  CARROLL ST","Soulard","3","ACTIVE","7"
"CONLEY NATHAN F","17-0484","MITCHELLS EXPRESS","5250 W FLORISSANT AV","Mark Twain","6","ACTIVE","1"
"CARTER KENNETH C","17-0485","","4361  DR MARTIN LUTHER KING DR","The Ville","5","OPEN","4"
"LUCKETT STANLEY","17-0486","","4616  DELMAR BLVD","Central West End","5","ACTIVE","18"
"MITCHELL BERNICE D         ","17-0487","","2840  CASS AV","JeffVanderLou","4","ACTIVE","19"
"M & B OIL INC","17-0488","","2501 N GRAND BLVD","JeffVanderLou","4","CLOSED","5"
"CHEN CHAN BAKERY & BBQ LLC              ","17-0489","","3175 S GRAND BLVD","Tower Grove South","2","ACTIVE","15"
